Ingredient,Frequency
"Glycerin",675
"2-Hexanediol",428
"Butylene Glycol",413
"Disodium EDTA",373
"Caprylic/Capric Triglyceride",342
"Phenoxyethanol",313
"Panthenol",308
"Ethylhexylglycerin",307
"Xanthan Gum",293
"Tocopherol",271
"Sodium Hyaluronate",267
"Caprylyl Glycol",252
"Dimethicone",232
"Glyceryl Stearate",231
"Cetearyl Alcohol",207
"Aqua",201
"Citric Acid",196
"Limonene",184
"Chlorphenesin",178
"Niacinamide",163
"Linalool",159
"PENTYLENE GLYCOL",159
"Propanediol",154
"Fragrance",152
"ADENOSINE",148
"HYDROGENATED LECITHIN",145
"Carbomer",142
"Centella Asiatica Extract",137
"Stearic Acid",132
"Parfum",131
"Acrylates/C10-30 Alkyl Acrylate Crosspolymer",128
"Dipropylene Glycol",125
"PHYTOSTEROLS",123
"Water(Aqua)",123
"Sodium Benzoate",122
"Coco-Caprylate/Caprate",122
"PEG-100 STEARATE",122
"Water",122
"Allantoin",117
"POLYSORBATE 60",117
"Propylene Glycol",111
"Sodium Hydroxide",105
"Cetyl Alcohol",104
"Arginine",104
"Prunus Armeniaca (Apricot) Kernel Oil",101
"Vitis Vinifera (Grape) Seed Oil",101
"Citrus Paradisi (Grapefruit) Seed Oil",101
"Mangifera Indica (Mango) Seed Oil",101
"Punica Granatum Seed Oil",101
"Solanum Lycopersicum (Tomato) Seed Oil",101
"Butyrospermum Parkii (Shea) Butter",100
"Betaine",99
"Polyglyceryl-10 Laurate",99
"CYCLOPENTASILOXANE",97
"Stearyl Alcohol",96
"Tocopheryl Acetate",94
"Palmitic Acid",93
"Erythritol",92
"Hyaluronic Acid",90
"Sodium Chloride",88
"Punica Granatum Fruit Extract",88
"Honey Extract",87
"Citronellol",86
"AVENE THERMAL SPRING WATER (AVENE AQUA)",85
"SQUALANE",83
"TROMETHAMINE",83
"CERAMIDE NP",80
"WATER (AQUA)",77
"Fragrance(Parfum)",75
"C12-15 Alkyl Benzoate",74
"Sodium Polyacrylate",73
"Hydroxyacetophenone",72
"POLYSORBATE 20",72
"Alcohol Denat",71
"MYRISTYL ALCOHOL",71
"TITANIUM DIOXIDE",70
"HYDROLYZED HYALURONIC ACID",70
"Sodium Citrate",67
"Citrus Aurantium Bergamia (Bergamot) Fruit Oil",66
"Camellia Sinensis Leaf Extract",64
"Silica",63
"Methylpropanediol",63
"Hydroxyethylcellulose",63
"Lauryl Alcohol",63
"Potassium Sorbate",62
"Glyceryl Caprylate",60
"TETRASODIUM EDTA",59
"SORBITAN ISOSTEARATE",59
"Citrus Aurantium Dulcis (Orange) Peel Oil",58
"Vaccinium Angustifolium (Blueberry) Fruit Extract",57
"Hydrolyzed Sodium Hyaluronate",54
"POTASSIUM HYDROXIDE",54
"Cocamidopropyl Betaine",54
"SALICYLIC ACID",53
"MADECASSOSIDE",53
"Sodium Hyaluronate Crosspolymer",53
"Hexyl Cinnamal",51
"Benzyl Salicylate",51
"FRAGRANCE (PARFUM)",51
"CLAY",51
"Mineral Oil",51
"Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine",50
"Ethylhexyl Triazone",50
"ETHYLHEXYL PALMITATE",50
"Moringa Oleifera Seed Oil",50
"Sorbitan Sesquioleate",49
"SODIUM ACETYLATED HYALURONATE",47
"Isopropyl Myristate",46
"Glucose",46
"Alpha-Isomethyl Ionone",45
"Geraniol",45
"TRIDECETH-6",45
"TOCOPHERYL GLUCOSIDE",45
"Diethylamino Hydroxybenzoyl Hexyl Benzoate",44
"Butyl Methoxydibenzoylmethane",44
"Caprylyl/Capryl Glucoside",44
"Soluble Collagen",44
"Sorbitol",43
"Ammonium Acryloyldimethyltaurate/VP Copolymer",43
"ASCORBIC ACID",42
"HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER",42
"Vitis Vinifera (Grape) Fruit Extract",42
"Potassium Cetyl Phosphate",41
"ALUMINUM HYDROXIDE",41
"Octyldodecanol",40
"Beta-glucan",40
"Benzoic Acid",40
"CHOLESTEROL",40
"PEG-60 Hydrogenated Castor Oil",39
"Ethylhexyl Stearate",39
"Diisostearyl Malate",39
"Ulmus Davidiana Root Extract",38
"Coptis Japonica Root Extract",38
"Sodium PCA",37
"TRIETHANOLAMINE",37
"TRIBEHENIN",37
"Asiaticoside",37
"Menthol",36
"Hydrogenated Polyisobutene",36
"Trehalose",36
"Centella Asiatica Leaf Extract",36
"Biotin",35
"Silica Dimethyl Silylate",35
"Myristic Acid",35
"Glyceryl Stearate SE",35
"SORBITAN STEARATE",35
"Citrus Nobilis (Mandarin Orange) Peel Oil",35
"Citral",34
"PHYTOSPHINGOSINE",34
"SORBITAN OLIVATE",34
"Glycereth-26",34
"Oenothera Biennis (Evening Primrose) Flower Extract",34
"Pinus Palustris Leaf Extract",34
"Pueraria Lobata Root Extract",34
"DECYL GLUCOSIDE",33
"Zanthoxylum Piperitum Fruit Extract",33
"Pelargonium Graveolens Flower Oil",33
"Aloe Barbadensis Leaf Extract",33
"Dipotassium Glycyrrhizate",32
"CETEARYL GLUCOSIDE",32
"POLYISOBUTENE",32
